address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,LAT,LONG
50 Orchid Place Dr Room 1 Toronto,1,1,Condo Townhouse Multi-Level,1000,1000-1199,E9416947,1000,1199,1099.5,Condo Townhouse,Multi-Level,43.7931996,-79.23689399999999
330 Village Green Sq 8 Toronto,1,2,Condo Townhouse 3-Storey,1100,1200-1399,E9399099,1200,1399,1299.5,Condo Townhouse,3-Storey,43.7781372,-79.2825076
3 Falaise Rd A2 Toronto,1,1,Condo Townhouse Stacked Townhse,1200,1400-1599,E10431570,1400,1599,1499.5,Condo Townhouse,Stacked Townhse,43.7693181,-79.188958
10 Eddystone Ave 241 Toronto,1,2,Condo Apt 2-Storey,1200,1200-1399,W10407655,1200,1399,1299.5,Condo Apartment,2-Storey,43.7492458,-79.5167052
872 Browns Line 2 Toronto,1,1,Condo Apt Multi-Level,1250,1000-1199,W10423767,1000,1199,1099.5,Condo Apartment,Multi-Level,43.6098799,-79.54930999999999
55 Cedarcroft Blvd 12 Toronto,1,1,Condo Townhouse 2-Storey,1250,1200-1399,C10441325,1200,1399,1299.5,Condo Townhouse,2-Storey,43.7826809,-79.44931319999999
177 Linus Rd 1014 Toronto,1,1,Condo Apt Apartment,1280,900-999,C9295556,900,999,949.5,Condo Apartment,Apartment,43.7913188,-79.3571833
350 Alton Towers Circ 907 Toronto,1+1,1,Condo Apt Apartment,1300,700-799,E9381394,700,799,749.5,Condo Apartment,Apartment,43.8228272,-79.27515439999999
57 Finch Ave 27 Toronto,1,1,Condo Townhouse 2-Storey,1350,900-999,C10884899,900,999,949.5,Condo Townhouse,2-Storey,43.778484,-79.42046069999999
11753 Sheppard Ave E 420 Toronto,1,1,Condo Apt Apartment,1350,1000-1199,E10422806,1000,1199,1099.5,Condo Apartment,Apartment,43.7995769,-79.1483164
E18 Orchid Pl Room 2 Toronto,1,1,Condo Townhouse 3-Storey,1400,1000-1199,E10415851,1000,1199,1099.5,Condo Townhouse,3-Storey,43.7933637,-79.2354938
1121 Bay St 1402 Toronto,1,1,Condo Apt Apartment,1400,1000-1199,C9398305,1000,1199,1099.5,Condo Apartment,Apartment,43.6679864,-79.3885486
1378 Danforth Ave 3 Toronto,1,1,Condo Apt Apartment,1400,600-699,E9396307,600,699,649.5,Condo Apartment,Apartment,43.6825313,-79.3281852
7 Falaise Rd A Toronto,1,1,Condo Townhouse 2-Storey,1400,0-499,E9255134,0,499,249.5,Condo Townhouse,2-Storey,43.76943,-79.18897
420 Lake Shore G02 Blvd W 2nd Bed Toronto,1,1,Condo Townhouse Stacked Townhse,1450,0-499,C9256479,0,499,249.5,Condo Townhouse,Stacked Townhse,43.6374172,-79.3976572
757 Dovercourt Rd F Toronto,1,1,Condo Apt Bachelor/Studio,1495,0-499,W10929171,0,499,249.5,Condo Apartment,Bachelor/Studio,43.6615607,-79.4294144
909 Bay St 604-S Toronto,1,1,Condo Apt Apartment,1500,1000-1199,C9284109,1000,1199,1099.5,Condo Apartment,Apartment,43.6636895,-79.3866053
17 Bathurst St 2901 Toronto,1+1,1,Room Apartment,1500,500-599,C9282402,500,599,549.5,Room,Apartment,43.6376464,-79.39901110000001
3 Sudbury St 302 Toronto,1,1,Condo Townhouse Stacked Townhse,1500,700-799,C9752090,700,799,749.5,Condo Townhouse,Stacked Townhse,43.6410782,-79.41809479999999
6A Leaside Park Dr Toronto,1,2,Room 3-Storey,1500,2500-2749,C10432649,2500,2749,2624.5,Room,3-Storey,43.7027843,-79.3502601
1378 Danforth Ave 2 Toronto,1,1,Condo Apt Apartment,1500,600-699,E9396304,600,699,649.5,Condo Apartment,Apartment,43.6825313,-79.3281852
10 Capreol Crt 1057 Toronto,1,2,Condo Apt Apartment,1500,600-699,C9514453,600,699,649.5,Condo Apartment,Apartment,43.6401979,-79.3959363
57 St Joseph St 1123 Toronto,1,1,Shared Room Apartment,1500,0-499,C10408062,0,499,249.5,Room,Apartment,43.6654292,-79.3880303
10 York St 1107 Toronto,1,1,Condo Apt Apartment,1500,600-699,C9344480,600,699,649.5,Condo Apartment,Apartment,43.6411454,-79.38131249999999
104 Regent St Toronto,1,1,Condo Townhouse 2-Storey,1550,1400-1599,C10404949,1400,1599,1499.5,Condo Townhouse,2-Storey,43.6826073,-79.4704546
99 Broadway Ave 2709 Toronto,1,1,Condo Apt Apartment,1590,600-699,C10419429,600,699,649.5,Condo Apartment,Apartment,43.7105663,-79.3932957
827 Albion Rd Toronto,1,1,Upper Level Apartment,1600,500-599,W10291582,500,599,549.5,Upper Level,Apartment,43.7341947,-79.55953099999999
49 East Liberty St 2603 Toronto,1,1,Condo Apt Apartment,1600,800-899,C10781910,800,899,849.5,Condo Apartment,Apartment,43.63883,-79.41163499999999
21 Carlton St 1205 Toronto,1,2,Room Apartment,1650,900-999,C9419501,900,999,949.5,Room,Apartment,43.6612321,-79.3819474
60 Ann O'reilly Rd 260 Toronto,1,1,Condo Apt Apartment,1650,1200-1399,C9513758,1200,1399,1299.5,Condo Apartment,Apartment,43.774404,-79.3294289
47 Mutual St 802 Toronto,1,1,Condo Apt Apartment,1650,900-999,C9512857,900,999,949.5,Condo Apartment,Apartment,43.6549839,-79.3746244
57 St Joseph St 313 Toronto,1,1,Condo Apt Apartment,1650,1000-1199,C9398764,1000,1199,1099.5,Condo Apartment,Apartment,43.6654292,-79.3880303
25 Adra Grado Way 1026 Br Toronto,1,1,Condo Apt Apartment,1680,1000-1199,C10418575,1000,1199,1099.5,Condo Apartment,Apartment,43.7763756,-79.3659472
45 Charles St E 2312 Toronto,1,1,Condo Apt Apartment,1700,800-899,C10279421,800,899,849.5,Condo Apartment,Apartment,43.6689111,-79.383977
25 Carlton St 2007 Toronto,1,1,Condo Apt Apartment,1700,800-899,C10420328,800,899,849.5,Condo Apartment,Apartment,43.6612664,-79.38159279999999
70 Forest Manor Rd 3308 Toronto,1,1,Condo Apt Apartment,1700,1000-1199,C10412749,1000,1199,1099.5,Condo Apartment,Apartment,43.7745395,-79.3449495
32 Townsend Rd Toronto,1,1,Condo Townhouse 3-Storey,1750,500-599,C9344699,500,599,549.5,Condo Townhouse,3-Storey,43.8107609,-79.35724929999999
330 Richmond St W 603 Toronto,1,1,Condo Apt Apartment,1770,500-599,C9513282,500,599,549.5,Condo Apartment,Apartment,43.6489309,-79.3927925
1446 Yonge St 7 Toronto,1,1,Condo Apt Bachelor/Studio,1795,0-499,C10441502,0,499,249.5,Condo Apartment,Bachelor/Studio,43.6875198,-79.3940197
750 Bay St 1110 Toronto,1,1,Condo Apt Apartment,1800,800-899,C9368047,800,899,849.5,Condo Apartment,Apartment,43.6596664,-79.38605749999999
195 McCaul St 1114 Toronto,1,1,Condo Apt Apartment,1800,0-499,C10414508,0,499,249.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
448 Spadina Rd 106 Toronto,1,1,Other Apartment,1845,500-599,C9419486,500,599,549.5,Other,Apartment,43.6892777,-79.4133196
448 Spadina Rd 407 Toronto,1,1,Other Apartment,1845,500-599,C10415271,500,599,549.5,Other,Apartment,43.6892777,-79.4133196
8 Cumberland St 4702 Toronto,1,1,Condo Apt Apartment,1850,700-799,C9395205,700,799,749.5,Condo Apartment,Apartment,43.6710845,-79.38778730000001
90 Glen Everest Rd 308 Toronto,1,1,Condo Apt Apartment,1850,0-499,E9768654,0,499,249.5,Condo Apartment,Apartment,43.7031342,-79.25277299999999
191 St George St 907 Toronto,1,1,Condo Apt Apartment,1850,600-699,C10416131,600,699,649.5,Condo Apartment,Apartment,43.67154410000001,-79.40108219999999
55 Bremner Blvd 3207 Toronto,1,1,Condo Apt Apartment,1850,800-899,C10422353,800,899,849.5,Condo Apartment,Apartment,43.642884,-79.3804767
191 St George St 707 Toronto,1,1,Condo Apt Apartment,1850,600-699,C10414485,600,699,649.5,Condo Apartment,Apartment,43.67154410000001,-79.40108219999999
1 Falaise Rd 101 Toronto,1,1,Condo Apt Apartment,1850,0-499,E10431104,0,499,249.5,Condo Apartment,Apartment,43.7693451,-79.1887643
2191 Yonge St 811 Toronto,1,1,Condo Apt Apartment,1880,1000-1199,C9400140,1000,1199,1099.5,Condo Apartment,Apartment,43.70559790000001,-79.397714
2 Kingston Rd 16 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E10417226,700,799,749.5,Co-Op Apartment,Apartment,43.7567385,-79.2001641
126 Dundas St E 205 Toronto,1,1,Upper Level Apartment,1900,500-599,C9382446,500,599,549.5,Upper Level,Apartment,43.6567816,-79.37641789999999
4 Kingston Rd 39 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E9770105,700,799,749.5,Co-Op Apartment,Apartment,43.74378900000001,-79.21098839999999
12 Kingston Rd 77 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E9382560,700,799,749.5,Co-Op Apartment,Apartment,43.7575665,-79.19937399999999
195 McCaul St 219 Toronto,1,1,Condo Apt Apartment,1900,0-499,C10421461,0,499,249.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
120 Parliament St 1307 Toronto,1,1,Condo Apt Apartment,1900,0-499,C9512638,0,499,249.5,Condo Apartment,Apartment,43.6537663,-79.36406769999999
156 Kingston Rd 10 Toronto,1,1,Condo Apt Apartment,1900,600-699,E10440918,600,699,649.5,Condo Apartment,Apartment,43.6711272,-79.3113905
156 Kingston Rd 306 Toronto,1,1,Condo Apt Apartment,1900,600-699,E9465244,600,699,649.5,Condo Apartment,Apartment,43.6711272,-79.3113905
10 Kingston Rd 92 Toronto,1,1,Condo Apt Apartment,1900,700-799,E9236039,700,799,749.5,Condo Apartment,Apartment,43.6683204,-79.31227299999999
15 Fort York Blvd 4503 Toronto,1,1,Condo Apt Apartment,1900,800-899,C9509921,800,899,849.5,Condo Apartment,Apartment,43.6398873,-79.3938891
18 Yorkville Ave 505 Toronto,1+0,1,Condo Apt Apartment,1900,0-499,C10416994,0,499,249.5,Condo Apartment,Apartment,43.6720014,-79.3879279
156 Kingston Rd 216 Toronto,1,1,Condo Apt Apartment,1900,600-699,E9506710,600,699,649.5,Condo Apartment,Apartment,43.6711272,-79.3113905
39 Brant St 716 Toronto,1,1,Condo Apt Apartment,1900,0-499,C10414582,0,499,249.5,Condo Apartment,Apartment,43.6464821,-79.39809850000002
2135 Avenue Rd 102 Toronto,1,0,Other Apartment,1925,500-599,C9399205,500,599,549.5,Other,Apartment,43.7060864,-79.4097176
414 Jarvis St E 104 Toronto,1,1,Co-Op Apt Apartment,1930,500-599,C9416198,500,599,549.5,Co-Op Apartment,Apartment,43.6646874,-79.3783718
414 Jarvis St E 207 Toronto,1,1,Co-Op Apt Apartment,1930,500-599,C9390221,500,599,549.5,Co-Op Apartment,Apartment,43.6646874,-79.3783718
1 Triller Ave 207 Toronto,1,1,Condo Apt Apartment,1945,500-599,W9767885,500,599,549.5,Condo Apartment,Apartment,43.6379179,-79.4432703
195 McCaul St 1309 Toronto,1,1,Condo Apt Apartment,1950,0-499,C10426054,0,499,249.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
77 Shuter St 2015 Toronto,1,1,Condo Apt Bachelor/Studio,1950,0-499,C10424330,0,499,249.5,Condo Apartment,Bachelor/Studio,43.6549921,-79.375121
2362 Islington Ave 14 Toronto,1,1,Comm Element Condo 2-Storey,1950,600-699,W9379783,600,699,649.5,Common Element Condo,2-Storey,43.7193014,-79.557535
127 Broadway Ave 302 Toronto,1,1,Condo Apt Apartment,1950,0-499,C10422618,0,499,249.5,Condo Apartment,Apartment,43.7103794,-79.3921761
781 St Clair Ave W 5 Toronto,1,1,Other Apartment,1950,0-499,C10874895,0,499,249.5,Other,Apartment,43.6807352,-79.4291367
500 Wilson Ave 637 Toronto,1,1,Condo Apt Apartment,1950,0-499,C10707946,0,499,249.5,Condo Apartment,Apartment,43.7353752,-79.4454727
127 Broadway Ave 1507 Toronto,1,1,Condo Apt Apartment,1950,500-599,C10433377,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
117 Broadway Ave 308 Toronto,1,1,Condo Apt Apartment,1975,0-499,C10707743,0,499,249.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
420 Eglinton Ave E 301 Toronto,1,1,Condo Apt Apartment,1975,500-599,C10431315,500,599,549.5,Condo Apartment,Apartment,43.709819,-79.3852845
191 St George St 804 Toronto,1,1,Condo Apt Apartment,1975,600-699,C9374627,600,699,649.5,Condo Apartment,Apartment,43.67154410000001,-79.40108219999999
2515 Eglinton Ave W 301 Toronto,1,1,Condo Apt Apartment,1975,600-699,W9012948,600,699,649.5,Condo Apartment,Apartment,43.69092149999999,-79.4705841
77 SHUTER St 1915 Toronto,1,1,Condo Apt Apartment,1980,0-499,C10411546,0,499,249.5,Condo Apartment,Apartment,43.6549921,-79.375121
127 Broadway Ave 1610 Toronto,1,1,Condo Apt Apartment,1980,500-599,C10429969,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
117 BROADWAY Ave N 311 Toronto,1,1,Condo Apt Apartment,1995,0-499,C10430564,0,499,249.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
1 Triller Ave 308 Toronto,1,1,Condo Apt Apartment,1995,500-599,W9767851,500,599,549.5,Condo Apartment,Apartment,43.6379179,-79.4432703
630 Queen St E 416 Toronto,1,1,Condo Apt Apartment,1995,500-599,E10411321,500,599,549.5,Condo Apartment,Apartment,43.6584078,-79.35265009999999
1401 Dupont St 227 Toronto,1,1,Condo Apt Apartment,1999,500-599,W9262276,500,599,549.5,Condo Apartment,Apartment,43.666383,-79.44674289999999
105 The Queensway 409 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10427461,500,599,549.5,Condo Apartment,Apartment,43.6358626,-79.471413
9 Croham Rd 215 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10423955,500,599,549.5,Condo Apartment,Apartment,43.69309699999999,-79.46394409999999
9 Croham Rd 314 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10423930,500,599,549.5,Condo Apartment,Apartment,43.69309699999999,-79.46394409999999
2895 Bathurst St 309 Toronto,1,1,Co-Op Apt Apartment,1999,700-799,C10428584,700,799,749.5,Co-Op Apartment,Apartment,43.71477669999999,-79.4283451
3 Swift Dr 409 Toronto,1,1,Other Apartment,2000,700-799,C10424653,700,799,749.5,Other,Apartment,43.7266588,-79.3178203
219 Dundas St E 2215 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10273551,500,599,549.5,Condo Apartment,Apartment,43.657581,-79.37289
251 Jarvis St 318 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10427807,0,499,249.5,Condo Apartment,Apartment,43.65737670000001,-79.3744501
1401 Dupont St 123 Toronto,1,1,Co-Ownership Apt Apartment,2000,500-599,W9393500,500,599,549.5,Co-Ownership Apartment,Apartment,43.666383,-79.44674289999999
887 bay St 1612 Toronto,1+1,1,Comm Element Condo Apartment,2000,1000-1199,C10428088,1000,1199,1099.5,Common Element Condo,Apartment,43.6629706,-79.3861599
195 McCaul St 419 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9416149,0,499,249.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
399 Dupont St 202 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9923406,0,499,249.5,Condo Apartment,Apartment,43.673342,-79.41219389999999
117 Broadway Ave 312 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10421088,500,599,549.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
230 Simcoe St 2213 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10432517,0,499,249.5,Condo Apartment,Apartment,43.65328239999999,-79.3889093
65 St Mary St 2502 Toronto,1,1,Condo Apt Apartment,2000,800-899,C9392190,800,899,849.5,Condo Apartment,Apartment,43.6672065,-79.389162
20 Meadowglen Pl 634 Toronto,1,1,Condo Apt Apartment,2000,500-599,E10400941,500,599,549.5,Condo Apartment,Apartment,43.77462939999999,-79.23061059999999
127 Broadway Ave 1006 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10422638,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
896 Eglinton Ave E 110 Toronto,1,1,Condo Apt Apartment,2000,600-699,C10403078,600,699,649.5,Condo Apartment,Apartment,43.7142556,-79.36301879999999
1195 The Queensway 209 Toronto,1,1,Condo Apt Apartment,2000,500-599,W10407681,500,599,549.5,Condo Apartment,Apartment,43.62163,-79.52248
1195 The Queensway 208 Toronto,1,1,Condo Apt Apartment,2000,500-599,W10412593,500,599,549.5,Condo Apartment,Apartment,43.62163,-79.52248
230 Simcoe St 2220 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10845423,0,499,249.5,Condo Apartment,Apartment,43.65328239999999,-79.3889093
1401 Dupont St 232 Toronto,1,1,Co-Op Apt Apartment,2000,500-599,W9393114,500,599,549.5,Co-Op Apartment,Apartment,43.666383,-79.44674289999999
1407 Dupont St 202 Toronto,1,1,Co-Op Apt Apartment,2000,500-599,W10440524,500,599,549.5,Co-Op Apartment,Apartment,43.6662245,-79.447608
165 Cosburn Ave 602 Toronto,1,1,Condo Apt Apartment,2000,800-899,E10441771,800,899,849.5,Condo Apartment,Apartment,43.6897625,-79.345519
719 Lawrence Ave W 49 Toronto,1,1,Condo Townhouse 2-Storey,2000,600-699,W9385544,600,699,649.5,Condo Townhouse,2-Storey,43.7149333,-79.4486084
103 The Queensway 1211 Toronto,1,1,Condo Apt Apartment,2000,0-499,W10404583,0,499,249.5,Condo Apartment,Apartment,43.6362926,-79.47046279999999
127 Broadway Ave 616S Toronto,1,1,Condo Apt Apartment,2000,500-599,C10422614,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
11 Wincott Dr 602 Toronto,1,1,Condo Apt Apartment,2000,900-999,W10431061,900,999,949.5,Condo Apartment,Apartment,43.6953232,-79.550889
500 Wilson Ave 627 Toronto,1+1,1,Condo Apt Apartment,2000,0-499,C10421917,0,499,249.5,Condo Apartment,Apartment,43.7353752,-79.4454727
195 McCaul St 603 Toronto,1,1,Condo Apt Apartment,2000,500-599,C9391768,500,599,549.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
130 River St 3006 Toronto,1,1,Comm Element Condo Bachelor/Studio,2000,0-499,C9418078,0,499,249.5,Common Element Condo,Bachelor/Studio,43.6615739,-79.3586529
117 Broadway Ave 406 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10429677,500,599,549.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
126 Dundas St E 202 Toronto,1,1,Upper Level Apartment,2000,500-599,C10402964,500,599,549.5,Upper Level,Apartment,43.656325,-79.380903
425 front St E 704 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9418401,0,499,249.5,Condo Apartment,Apartment,43.6526799,-79.35710999999999
230 Simcoe St 2121 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10429351,0,499,249.5,Condo Apartment,Apartment,43.65328239999999,-79.3889093
30 Gloucester St 1903 Toronto,1,1,Co-Ownership Apt Apartment,2000,600-699,C10424393,600,699,649.5,Co-Ownership Apartment,Apartment,43.6673514,-79.3837922
90 Glen Everest Rd 704 Toronto,1,1,Condo Apt Apartment,2000,0-499,E10423301,0,499,249.5,Condo Apartment,Apartment,43.7031342,-79.25277299999999
1401 Dupont St 206 Toronto,1+1,1,Condo Apt Apartment,2000,600-699,W9800625,600,699,649.5,Condo Apartment,Apartment,43.666383,-79.44674289999999
127 Broadway Ave 614S Toronto,1,1,Condo Apt Apartment,2000,500-599,C10430936,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
629 King St W 710 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10415747,500,599,549.5,Condo Apartment,Apartment,43.644001,-79.4015398
68 Corporate Dr 1523 Toronto,1,1,Co-Op Apt Apartment,2000,600-699,E10429428,600,699,649.5,Co-Op Apartment,Apartment,43.780487,-79.250693
230 Simcoe St 2211 Toronto,1+0,1,Condo Apt Apartment,2000,0-499,C10429881,0,499,249.5,Condo Apartment,Apartment,43.65328239999999,-79.3889093
195 McCaul St 1214 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10416884,0,499,249.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
2470 Eglinton Ave W 106 Toronto,1,1,Condo Apt Apartment,2000,700-799,W10874727,700,799,749.5,Condo Apartment,Apartment,43.6924995,-79.4683404
215 Queen St W 1406 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9418929,0,499,249.5,Condo Apartment,Apartment,43.6504655,-79.3878063
2737 Keele St 215 Toronto,1,1,Condo Apt Apartment,2000,500-599,W9377439,500,599,549.5,Condo Apartment,Apartment,43.7257993,-79.48060339999999
195 McCaul St 1414 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10430477,0,499,249.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
319 Jarvis St 2005 Toronto,1,1,Condo Apt Apartment,2025,0-499,C9356775,0,499,249.5,Condo Apartment,Apartment,43.6597863,-79.3753128
270 Dufferin St N 922 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9874033,0,499,249.5,Condo Apartment,Apartment,43.6384128,-79.4276448
117 Broadway Ave 404 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10426144,500,599,549.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
127 Broadway Ave N 709 S Toronto,1,1,Condo Apt Apartment,2050,500-599,C10418904,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
500 Wilson Ave 619 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10415561,0,499,249.5,Condo Apartment,Apartment,43.7353752,-79.4454727
425 Front St E 803 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9508499,0,499,249.5,Condo Apartment,Apartment,43.6526799,-79.35710999999999
251 Jarvis St 420 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10707907,500,599,549.5,Condo Apartment,Apartment,43.65737670000001,-79.3744501
117 Broadway Ave 512 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10422814,500,599,549.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
215 Queen St W 1106 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9393977,0,499,249.5,Condo Apartment,Apartment,43.6504655,-79.3878063
68 Shuter St 1601 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10412058,500,599,549.5,Condo Apartment,Apartment,43.6551135,-79.3757349
629 King St W 1318 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10406137,0,499,249.5,Condo Apartment,Apartment,43.644001,-79.4015398
117 BROADWAY Ave N 611 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10442681,0,499,249.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
29 Singer Crt 1906 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9512859,0,499,249.5,Condo Apartment,Apartment,43.7692161,-79.3688897
270 Dufferin St 325 Toronto,1,1,Condo Apt Apartment,2050,0-499,W9375222,0,499,249.5,Condo Apartment,Apartment,43.6384128,-79.4276448
117 Broadway Ave 606 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10430707,500,599,549.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
1285 Dupont St N 2108 Toronto,1,1,Condo Apt Apartment,2050,0-499,W9512984,0,499,249.5,Condo Apartment,Apartment,43.66777390000001,-79.4428166
1285 DuPont St 2707 Toronto,1,1,Condo Apt Apartment,2050,500-599,W10874939,500,599,549.5,Condo Apartment,Apartment,43.66777390000001,-79.4428166
117 Broadway Ave 604 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10416431,500,599,549.5,Condo Apartment,Apartment,43.71035699999999,-79.3925946
195 McCaul St 708 Toronto,1,1,Condo Apt Apartment,2050,500-599,C9394844,500,599,549.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
251 Jarvis St 3001 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10768546,0,499,249.5,Condo Apartment,Apartment,43.65737670000001,-79.3744501
500 Wilson Ave 727 Toronto,1+1,1,Condo Apt Apartment,2050,0-499,C10440532,0,499,249.5,Condo Apartment,Apartment,43.7353752,-79.4454727
35 Hayden St 615 Toronto,1,1,Condo Apt Apartment,2050,500-599,C9768083,500,599,549.5,Condo Apartment,Apartment,43.6696226,-79.3847443
215 Queen St W 1915 Toronto,1,1,Condo Apt Multi-Level,2050,0-499,C10416663,0,499,249.5,Condo Apartment,Multi-Level,43.6504655,-79.3878063
42 Charles St E 703 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9372793,0,499,249.5,Condo Apartment,Apartment,43.6695837,-79.38416389999999
127 Broadway Ave 1310 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10428810,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
251 Jarvis St 934 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10428833,500,599,549.5,Condo Apartment,Apartment,43.65737670000001,-79.3744501
2789 Eglinton Ave E 434 Toronto,1,1,Condo Townhouse Stacked Townhse,2050,500-599,E10446888,500,599,549.5,Condo Townhouse,Stacked Townhse,43.7370771,-79.2453001
1285 Dupont St 808 Toronto,1,1,Condo Apt Apartment,2050,500-599,W9419964,500,599,549.5,Condo Apartment,Apartment,43.66777390000001,-79.4428166
195 McCaul St 312 Toronto,1+1,1,Condo Apt Loft,2050,500-599,C9349647,500,599,549.5,Condo Apartment,Loft,43.6567194,-79.39214460000001
500 Dupont St 612 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9382946,0,499,249.5,Condo Apartment,Apartment,43.6729067,-79.4161383
1442 Lawrence Ave W 1011 Toronto,1,1,Condo Apt Apartment,2075,700-799,W9399446,700,799,749.5,Condo Apartment,Apartment,43.708819,-79.4803635
1285 Dupont St 706 Toronto,1,1,Condo Apt Apartment,2075,500-599,W9375153,500,599,549.5,Condo Apartment,Apartment,43.66777390000001,-79.4428166
127 Broadway Ave N 610 S Toronto,1,1,Condo Apt Apartment,2075,500-599,C10442871,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
181 Dundas St E 3008 Toronto,1,1,Condo Apt Apartment,2075,0-499,C10415368,0,499,249.5,Condo Apartment,Apartment,43.6570251,-79.374008
219 Dundas St E 1115 Toronto,1,1,Condo Apt Apartment,2080,500-599,C10845515,500,599,549.5,Condo Apartment,Apartment,43.657581,-79.37289
165 Canon Jackson Dr 508 Toronto,1,1,Condo Apt Apartment,2090,500-599,W9416321,500,599,549.5,Condo Apartment,Apartment,43.6968454,-79.4744087
721 Lawrence Ave W 67 Toronto,1,2,Condo Townhouse Stacked Townhse,2090,500-599,W9381561,500,599,549.5,Condo Townhouse,Stacked Townhse,43.7148522,-79.4491496
108 PETER St 815 Toronto,1,1,Condo Apt Apartment,2095,0-499,C10874894,0,499,249.5,Condo Apartment,Apartment,43.6476915,-79.3933074
1 Falaise Rd 405 Toronto,1,1,Condo Apt Apartment,2099,500-599,E10428974,500,599,549.5,Condo Apartment,Apartment,43.7693451,-79.1887643
392 Jane St 102 Toronto,1,1,Condo Apt Apartment,2099,700-799,W10413206,700,799,749.5,Condo Apartment,Apartment,43.6579948,-79.48821509999999
127 Broadway Ave 415 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10417675,500,599,549.5,Condo Apartment,Apartment,43.7103794,-79.3921761
1285 Dupont St 2208 Toronto,1,1,Condo Apt Loft,2100,500-599,W10420818,500,599,549.5,Condo Apartment,Loft,43.66777390000001,-79.4428166
1461 Lawrence Ave W 1303 Toronto,1,1,Condo Apt Apartment,2100,0-499,W10929178,0,499,249.5,Condo Apartment,Apartment,43.7074982,-79.4797966
150 Sudbury St 812 Toronto,1,1,Condo Apt Loft,2100,500-599,C10408606,500,599,549.5,Condo Apartment,Loft,43.6415681,-79.42419199999999
